	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene																															
PPIF.4	5.21E-140	3.95465096	0.383	0.117	2.01E-135	Neutrophils	PPIF																															
MZB1.1	0	3.922954411	0.758	0.057	0	Plasmablast	MZB1																															
NFKBIA.12	1.31E-164	3.919460072	0.683	0.4	5.07E-160	Neutrophils	NFKBIA																															
MMP1	0	3.888053572	0.286	0.025	0	Inflam Mac	MMP1																															
IGHM.3	3.77E-174	3.881377554	0.376	0.045	1.46E-169	Plasmablast	IGHM																															
PLAUR.14	2.47E-272	3.878331567	0.555	0.15	9.55E-268	Neutrophils	PLAUR																															
BIRC3.6	0	3.871400558	0.981	0.159	0	mRegDC	BIRC3																															
SPP1.7	0	3.86290334	0.89	0.167	0	LAM2	SPP1																															
MMP12	0	3.851098958	0.412	0.019	0	LAM2	MMP12																															
MZB1.2	0	3.834239335	0.856	0.048	0	IgG mature	MZB1																															
SAT1.15	0	3.82486777	0.904	0.562	0	Neutrophils	SAT1																															
CD79A.3	0	3.819368763	0.961	0.052	0	GC B	CD79A																															
CCL4L2.3	0	3.817582865	0.564	0.088	0	Inflam Mac	CCL4L2																															
MMP9.4	0	3.762357315	0.695	0.034	0	LAM2	MMP9																															
OSM.1	0	3.752949145	0.333	0.023	0	Neutrophils	OSM																															
GZMB.1	0	3.707737787	0.86	0.084	0	CD8+ TEX	GZMB																															
CD79B.3	0	3.677015399	0.95	0.064	0	GC B	CD79B																															
IGHG1.3	5.89E-269	3.657568285	0.69	0.106	2.28E-264	Plasmablast	IGHG1																															
FSCN1	7.87E-197	3.650497589	0.518	0.163	3.04E-192	mQuiescDC	FSCN1																															
MS4A1.4	0	3.648369557	0.921	0.029	0	Breg	MS4A1																															
IGLL5.3	0	3.645027483	0.4	0.012	0	IgA mature	IGLL5																															
CCL19.1	0	3.625752197	0.676	0.01	0	mRegDC	CCL19																															
LYZ.4	0	3.613943513	0.94	0.149	0	IFN Mac	LYZ																															
LAMP3.2	0	3.610658339	0.965	0.023	0	mRegDC	LAMP3																															
CCR7.2	0	3.610126806	0.946	0.061	0	mRegDC	CCR7																															
C1QB	0	3.607301536	0.8	0.112	0	IFN Mac	C1QB																															
HLA-DRA.25	7.33E-254	3.607210009	1	0.359	2.83E-249	AXL_DC	HLA-DRA																															
IGHA2.1	0	3.596996997	0.285	0.016	0	IgA immature	IGHA2																															
MMP12.1	0	3.590189728	0.483	0.02	0	AXL_DC	MMP12																															
CXCL13.2	0	3.570587045	0.661	0.036	0	CD8+ TEX	CXCL13																															
JCHAIN.2	0	3.561490783	0.664	0.057	0	IgG mature	JCHAIN																															
CCL4.12	0	3.559420565	0.761	0.188	0	Inflam Mac	CCL4																															
IGHG3.1	5.36E-256	3.552959453	0.67	0.101	2.07E-251	Plasmablast	IGHG3																															
C1QC	0	3.549802901	0.79	0.091	0	IFN Mac	C1QC																															
SOD2.3	0	3.544643972	0.878	0.28	0	Inflam Mac	SOD2																															
DERL3.3	0	3.501314076	0.854	0.05	0	IgA mature	DERL3																															
C1QA.2	0	3.481891986	0.814	0.111	0	IFN Mac	C1QA																															
TIMP1.14	0	3.477139656	0.83	0.421	0	Inflam Mac	TIMP1																															
BCL2A1.5	0	3.476807878	0.752	0.096	0	Inflam Mac	BCL2A1																															
HLA-DPB1.28	0	3.476477068	0.918	0.348	0	mQuiescDC	HLA-DPB1																															
INHBA.1	0	3.468654799	0.547	0.064	0	Inflam Mac	INHBA																															
IGHM.4	0	3.446983897	0.337	0.045	0	IgG immature	IGHM																															
TREM1.7	0	3.446930624	0.423	0.037	0	Neutrophils	TREM1																															
IGLL5.1	0	3.429833203	0.407	0.01	0	IgG mature	IGLL5																															
SMIM25.11	0	3.421732388	0.393	0.044	0	Neutrophils	SMIM25																															
HLA-DPB1.24	1.25E-244	3.405925476	0.987	0.348	4.82E-240	AXL_DC	HLA-DPB1																															
TNFRSF4.2	0	3.396908022	0.615	0.054	0	CD4+ TREG	TNFRSF4																															
TCL1A.1	0	3.388043854	0.883	0.009	0	GC B	TCL1A																															
HLA-DQA1.20	0	3.387317398	0.975	0.183	0	AXL_DC	HLA-DQA1																															
LYZ.2	0	3.371735754	0.962	0.145	0	Mono-like Mac	LYZ																															
TXN.12	0	3.371221959	0.978	0.549	0	mRegDC	TXN																															
NFKBIZ.4	4.60E-109	3.364059664	0.445	0.191	1.78E-104	Neutrophils	NFKBIZ																															
IGHG2	0	3.358341311	0.435	0.034	0	Plasmablast	IGHG2																															
GNLY	0	3.356413735	0.565	0.072	0	CD8+ TEX	GNLY																															
CD83.22	0	3.348412427	0.925	0.099	0	mRegDC	CD83																															
HLA-DQA1.24	0	3.339253713	0.788	0.183	0	mQuiescDC	HLA-DQA1																															
FBP1.5	0	3.331034495	0.829	0.093	0	LAM2	FBP1																															
JCHAIN.1	0	3.32886512	0.735	0.064	0	Plasmablast	JCHAIN																															
HLA-DPA1.23	1.59E-245	3.310640147	0.99	0.354	6.16E-241	AXL_DC	HLA-DPA1																															
HLA-DQB1.21	0	3.291221261	0.971	0.216	0	AXL_DC	HLA-DQB1																															
VPREB3.3	0	3.271158758	0.86	0.018	0	GC B	VPREB3																															
S100A9.14	6.81E-277	3.266663092	0.61	0.167	2.63E-272	Neutrophils	S100A9																															
IER3.3	0	3.266465443	0.774	0.215	0	Inflam Mac	IER3																															
IER3.11	7.43E-137	3.263083615	0.51	0.216	2.87E-132	Neutrophils	IER3																															
CSF3R.6	0	3.255988391	0.339	0.038	0	Neutrophils	CSF3R																															
HLA-DRB1.25	2.54E-239	3.230671987	0.994	0.361	9.83E-235	AXL_DC	HLA-DRB1																															
HLA-DRA.13	0	3.227394957	0.994	0.357	0	IFN Mac	HLA-DRA																															
HLA-DRA.29	0	3.213841436	0.942	0.358	0	mQuiescDC	HLA-DRA																															
CCL22	0	3.195593044	0.403	0.007	0	AXL_DC	CCL22																															
HLA-DPA1.27	0	3.190210174	0.893	0.354	0	mQuiescDC	HLA-DPA1																															
CCL5.4	0	3.188712022	0.971	0.192	0	CD8+ TEX	CCL5																															
IGKV4-1	7.03E-152	3.180895367	0.278	0.028	2.72E-147	Plasmablast	IGKV4-1																															
CCL19	0	3.178687293	0.282	0.011	0	mQuiescDC	CCL19																															
IGKC.3	4.67E-136	3.17087777	0.81	0.265	1.81E-131	Plasmablast	IGKC																															
IGLC2.1	2.39E-110	3.160527454	0.523	0.12	9.25E-106	Plasmablast	IGLC2																															
IL1B.12	0	3.155349539	0.616	0.045	0	AXL_DC	IL1B																															
FCGR2A.14	7.89E-167	3.152141193	0.342	0.08	3.05E-162	Neutrophils	FCGR2A																															
CDKN1A.9	0	3.122210949	0.925	0.195	0	mRegDC	CDKN1A																															
CCL4L2.1	0	3.116569379	0.503	0.078	0	CD8+ TEX	CCL4L2																															
HLA-DQA1.8	0	3.089065922	0.937	0.181	0	IFN Mac	HLA-DQA1																															
FCGR3B	0	3.080926557	0.265	0.006	0	Neutrophils	FCGR3B																															
CD79A.4	0	3.0645779	0.905	0.05	0	Breg	CD79A																															
NAMPT.3	0	3.055582342	0.765	0.223	0	Inflam Mac	NAMPT																															
ALOX5AP.22	2.56E-206	3.041007944	0.609	0.228	9.90E-202	Neutrophils	ALOX5AP																															
CCL4.2	0	3.035552397	0.83	0.172	0	CD8+ TEX	CCL4																															
HLA-DRB1.12	0	3.034643467	0.987	0.359	0	IFN Mac	HLA-DRB1																															
CD74.35	0	3.034201036	0.998	0.617	0	mRegDC	CD74																															
GZMA.4	0	3.025794607	0.873	0.143	0	CD8+ TEX	GZMA																															
NKG7.1	0	3.022239313	0.931	0.146	0	CD8+ TEX	NKG7																															
IGHG3.4	0	3.016928408	0.406	0.099	0	IgA mature	IGHG3																															
CD74.30	8.91E-186	3.01030766	1	0.618	3.44E-181	AXL_DC	CD74																															
CSTB.10	0	3.007801811	0.983	0.568	0	LAM2	CSTB																															
HMGB2	0	3.00443337	0.827	0.26	0	Prolif T	HMGB2																															
CALHM6.2	0	3.000618063	0.833	0.066	0	IFN Mac	CALHM6																															
HLA-DPA1.10	0	2.991443921	0.983	0.352	0	IFN Mac	HLA-DPA1																															
MZB1.3	0	2.989402699	0.757	0.056	0	IgG immature	MZB1																															
SRGN.35	1.67E-263	2.984969191	0.819	0.422	6.46E-259	Neutrophils	SRGN																															
IGHG1.6	0	2.98150485	0.439	0.104	0	IgA mature	IGHG1																															
FCER1G.7	0	2.969418768	0.823	0.158	0	Inflam Mac	FCER1G																															
NEAT1.9	7.99E-214	2.964640116	0.829	0.569	3.09E-209	Neutrophils	NEAT1																															
AQP9.3	1.04E-288	2.952189536	0.328	0.047	4.04E-284	Neutrophils	AQP9																															
AIF1.2	0	2.949116364	0.963	0.122	0	Mono-like Mac	AIF1																															
CTSL	0	2.945459698	0.699	0.22	0	Inflam Mac	CTSL																															
HLA-DRB5.19	3.07E-262	2.941437714	0.911	0.221	1.19E-257	AXL_DC	HLA-DRB5																															
DERL3.1	0	2.941052783	0.725	0.047	0	IgG mature	DERL3																															
CD74.34	0	2.939840439	0.99	0.617	0	mQuiescDC	CD74																															
IDO1.3	0	2.935254289	0.722	0.019	0	mRegDC	IDO1																															
CTSB.23	0	2.921069132	0.965	0.439	0	LAM2	CTSB																															
FPR1.8	1.49E-266	2.918698226	0.293	0.041	5.75E-262	Neutrophils	FPR1																															
SPP1	1.51E-271	2.918600065	0.529	0.169	5.82E-267	Inflam Mac	SPP1																															
FOXP3	0	2.916689829	0.638	0.008	0	CD4+ TREG	FOXP3																															
HLA-DQA1.25	0	2.911095162	0.948	0.183	0	mRegDC	HLA-DQA1																															
SAT1.4	0	2.906209767	0.946	0.562	0	Inflam Mac	SAT1																															
HLA-DPB1.29	0	2.903419458	0.973	0.348	0	mRegDC	HLA-DPB1																															
TYROBP.6	0	2.900437337	0.985	0.176	0	Mono-like Mac	TYROBP																															
LAG3.2	0	2.887239155	0.704	0.066	0	CD8+ TEX	LAG3																															
IDO1.2	0	2.885189362	0.312	0.02	0	mQuiescDC	IDO1																															
FCER1G.8	0	2.884410321	0.95	0.157	0	IFN Mac	FCER1G																															
LRMP	0	2.865481115	0.858	0.039	0	GC B	LRMP																															
CD74.17	0	2.85204273	0.997	0.617	0	IFN Mac	CD74																															
IL1RN.5	0	2.847442145	0.701	0.048	0	LAM2	IL1RN																															
IGHG4.1	1.19E-177	2.846584926	0.542	0.088	4.62E-173	Plasmablast	IGHG4																															
AIF1.4	0	2.845046655	0.955	0.126	0	IFN Mac	AIF1																															
CD8A.2	0	2.82822957	0.803	0.08	0	CD8+ TEX	CD8A																															
LSP1.38	0	2.819195357	0.978	0.335	0	mRegDC	LSP1																															
CD83.18	0	2.816565452	0.908	0.1	0	AXL_DC	CD83																															
IL32.6	0	2.814586732	0.977	0.412	0	CD4+ TREG	IL32																															
MMP9	0	2.811421583	0.394	0.036	0	Inflam Mac	MMP9																															
HLA-DPB1.11	0	2.809966843	0.984	0.347	0	IFN Mac	HLA-DPB1																															
IL6	0	2.808325874	0.288	0.015	0	Inflam Mac	IL6																															
LYZ.16	0	2.805334423	0.949	0.151	0	AXL_DC	LYZ																															
PLIN2.2	0	2.803299334	0.602	0.197	0	Inflam Mac	PLIN2																															
HIST1H4C	0	2.801455354	0.68	0.337	0	Prolif T	HIST1H4C																															
TYROBP.8	0	2.794574566	0.979	0.18	0	IFN Mac	TYROBP																															
EREG.1	0	2.778358345	0.384	0.018	0	Inflam Mac	EREG																															
IL1B.2	0	2.766289473	0.587	0.041	0	Mono-like Mac	IL1B																															
CD68.11	0	2.760304476	0.932	0.155	0	LAM2	CD68																															
HLA-DQB1.25	6.76E-212	2.749668836	0.619	0.216	2.61E-207	mQuiescDC	HLA-DQB1																															
NFKBIA.5	0	2.734524063	0.829	0.399	0	Inflam Mac	NFKBIA																															
LSP1.37	2.24E-190	2.731757926	0.704	0.335	8.65E-186	mQuiescDC	LSP1																															
HLA-DQB1.9	0	2.728998599	0.942	0.214	0	IFN Mac	HLA-DQB1																															
FCN1.2	0	2.728667805	0.695	0.022	0	Mono-like Mac	FCN1																															
XBP1.1	0	2.723594546	0.823	0.337	0	IgG mature	XBP1																															
EBI3	0	2.717654499	0.613	0.018	0	mRegDC	EBI3																															
HLA-DRB5.7	0	2.713600285	0.863	0.22	0	IFN Mac	HLA-DRB5																															
SSR4.1	0	2.694095856	0.955	0.604	0	IgA mature	SSR4																															
MARCKSL1.1	0	2.693204368	0.898	0.295	0	mRegDC	MARCKSL1																															
RGS13.1	0	2.690146932	0.791	0.007	0	GC B	RGS13																															
HLA-DRA.30	0	2.688807979	0.983	0.358	0	mRegDC	HLA-DRA																															
DERL3.2	0	2.683434762	0.704	0.054	0	IgG immature	DERL3																															
RASSF4.14	0	2.67026754	0.887	0.084	0	mRegDC	RASSF4																															
LYZ.11	0	2.654179346	0.907	0.149	0	LAM2	LYZ																															
TNFRSF18.2	0	2.653323342	0.583	0.069	0	CD4+ TREG	TNFRSF18																															
TYROBP.15	0	2.651959974	0.98	0.18	0	LAM2	TYROBP																															
G0S2.4	2.27E-159	2.651174254	0.438	0.067	8.77E-155	AXL_DC	G0S2																															
LTB.4	0	2.639478756	0.853	0.18	0	CD4+ TREG	LTB																															
FCER1G.6	0	2.637941281	0.964	0.153	0	Mono-like Mac	FCER1G																															
IL4I1.8	0	2.636126132	0.79	0.049	0	AXL_DC	IL4I1																															
FCGR2A.3	0	2.635553614	0.587	0.079	0	Inflam Mac	FCGR2A																															
BATF.2	0	2.635061617	0.671	0.105	0	CD4+ TREG	BATF																															
CD22.2	0	2.613123384	0.799	0.018	0	GC B	CD22																															
SSR4	0	2.609582416	0.918	0.602	0	IgG mature	SSR4																															
HLA-DPA1.28	0	2.603802032	0.959	0.354	0	mRegDC	HLA-DPA1																															
AREG.5	1.86E-119	2.600999847	0.511	0.113	7.19E-115	AXL_DC	AREG																															
LAMP3.1	0	2.597332923	0.334	0.023	0	mQuiescDC	LAMP3																															
IFNG.1	0	2.593800942	0.544	0.038	0	CD8+ TEX	IFNG																															
C15orf48.8	0	2.591668661	0.828	0.101	0	LAM2	C15orf48																															
HLA-DQA1.3	0	2.587281284	0.958	0.183	0	GC B	HLA-DQA1																															
MS4A1.5	0	2.566814245	0.442	0.032	0	IgA immature	MS4A1																															
CD74.10	0	2.565687988	0.998	0.617	0	Breg	CD74																															
FCER1G.15	0	2.555318644	0.956	0.157	0	LAM2	FCER1G																															
CD68.4	0	2.552606446	0.903	0.154	0	IFN Mac	CD68																															
CD7.9	0	2.552459389	0.863	0.198	0	CD8+ TEX	CD7																															
IGLL5.2	0	2.548948585	0.39	0.014	0	IgG immature	IGLL5																															
TNFRSF18.1	0	2.544818809	0.697	0.086	0	CD4+ TH1	TNFRSF18																															
CSF2RA.10	0	2.540379185	0.868	0.034	0	mRegDC	CSF2RA																															
CD3D.9	0	2.533138079	0.929	0.213	0	CD8+ TEX	CD3D																															
SYNGR2.18	0	2.5270691	0.944	0.321	0	mRegDC	SYNGR2																															
C15orf48	0	2.519564024	0.624	0.099	0	Mono-like Mac	C15orf48																															
FCER1G.18	1.15E-155	2.517431755	0.487	0.159	4.46E-151	Neutrophils	FCER1G																															
GBP1	0	2.509121482	0.841	0.172	0	IFN Mac	GBP1																															
INHBA.2	1.48E-224	2.507569137	0.498	0.065	5.74E-220	AXL_DC	INHBA																															
IL1RN.7	0	2.491796702	0.679	0.049	0	AXL_DC	IL1RN																															
IGHA1.3	5.27E-120	2.487090391	0.559	0.12	2.04E-115	Plasmablast	IGHA1																															
GZMH.1	0	2.482583865	0.649	0.067	0	CD8+ TEX	GZMH																															
IRF8.3	0	2.48079573	0.874	0.062	0	GC B	IRF8																															
CTLA4.2	0	2.480340082	0.596	0.037	0	CD4+ TREG	CTLA4																															
PRF1.2	0	2.478008904	0.708	0.089	0	CD8+ TEX	PRF1																															
HLA-DRB1.29	6.86E-183	2.475582387	0.74	0.36	2.65E-178	mQuiescDC	HLA-DRB1																															
GZMB.4	0	2.473336436	0.562	0.1	0	Prolif T	GZMB																															
CXCL11	0	2.466339066	0.473	0.016	0	IFN Mac	CXCL11																															
HERPUD1.4	0	2.464840542	0.877	0.368	0	IgA mature	HERPUD1																															
STMN1	0	2.463281439	0.844	0.293	0	Prolif T	STMN1																															
HLA-DQB1.26	0	2.463246906	0.886	0.216	0	mRegDC	HLA-DQB1																															
TYMP.5	0	2.462731557	0.939	0.34	0	IFN Mac	TYMP																															
CCL4	3.88E-290	2.4627287	0.547	0.189	1.50E-285	CD4+ TH1	CCL4																															
HMGN1	2.78E-203	2.458097408	0.961	0.515	1.08E-198	GC B	HMGN1																															
SMIM14.2	1.07E-204	2.457654966	0.777	0.211	4.15E-200	GC B	SMIM14																															
CXCL13.3	0	2.449551947	0.418	0.049	0	Prolif T	CXCL13																															
HMGB2.1	1.86E-116	2.446148679	0.715	0.265	7.19E-112	GC B	HMGB2																															
FKBP11.4	0	2.437164933	0.832	0.179	0	IgA mature	FKBP11																															
CTSB.16	0	2.433868449	0.944	0.439	0	IFN Mac	CTSB																															
MS4A6A.3	0	2.430477781	0.826	0.086	0	IFN Mac	MS4A6A																															
TRAC.9	0	2.426030101	0.754	0.174	0	CD8+ TEX	TRAC																															
HLA-DRA.11	0	2.422441054	0.987	0.354	0	Mono-like Mac	HLA-DRA																															
CTSW.2	0	2.416201518	0.726	0.116	0	CD8+ TEX	CTSW																															
TYROBP.21	0	2.414517276	0.978	0.183	0	AXL_DC	TYROBP																															
HIST1H4C.1	1.07E-86	2.410294491	0.768	0.34	4.13E-82	Plasmablast	HIST1H4C																															
PLAUR.16	0	2.410217856	0.886	0.15	0	AXL_DC	PLAUR																															
CD79A.9	0	2.397861802	0.707	0.052	0	IgA immature	CD79A																															
CCL3	0	2.387350345	0.569	0.094	0	CD8+ TEX	CCL3																															
S100A9.2	0	2.385904712	0.893	0.162	0	Mono-like Mac	S100A9																															
NEIL1	0	2.383543438	0.749	0.041	0	GC B	NEIL1																															
PLEK.7	0	2.380688449	0.783	0.097	0	IFN Mac	PLEK																															
BANK1.4	0	2.376061751	0.723	0.023	0	Breg	BANK1																															
HLA-DRB5.23	3.10E-133	2.360580793	0.546	0.221	1.20E-128	mQuiescDC	HLA-DRB5																															
AOC1	0	2.360394028	0.589	0.008	0	mRegDC	AOC1																															
ACP5.8	0	2.359794784	0.733	0.159	0	LAM2	ACP5																															
PLAUR.11	0	2.358854914	0.832	0.148	0	LAM2	PLAUR																															
LGALS2.9	0	2.352167752	0.331	0.032	0	mQuiescDC	LGALS2																															
IFNG	0	2.352075458	0.455	0.051	0	CD4+ TH1	IFNG																															
SRGN.24	0	2.351224145	0.911	0.422	0	Inflam Mac	SRGN																															
LST1.3	0	2.347873196	0.868	0.096	0	Mono-like Mac	LST1																															
REL.13	0	2.347395657	0.902	0.225	0	mRegDC	REL																															
XBP1	1.79E-87	2.343121232	0.732	0.342	6.92E-83	Plasmablast	XBP1																															
IGSF6.4	0	2.334687039	0.772	0.059	0	IFN Mac	IGSF6																															
SPI1.5	0	2.33230953	0.858	0.095	0	IFN Mac	SPI1																															
HLA-DMB.3	0	2.329925958	0.844	0.118	0	GC B	HLA-DMB																															
TYMP.3	0	2.328938956	0.918	0.337	0	Mono-like Mac	TYMP																															
CTSD.11	0	2.327797915	0.898	0.389	0	LAM2	CTSD																															
PPA1.8	0	2.323194151	0.927	0.358	0	mRegDC	PPA1																															
TMEM176A.11	0	2.322684063	0.832	0.178	0	mRegDC	TMEM176A																															
CTSS.6	0	2.319621107	0.89	0.214	0	IFN Mac	CTSS																															
XBP1.3	0	2.319507872	0.855	0.34	0	IgA mature	XBP1																															
CSTB.3	0	2.318311168	0.861	0.568	0	Inflam Mac	CSTB																															
SLC2A3.6	0	2.314714623	0.656	0.234	0	Inflam Mac	SLC2A3																															
FGL2.3	0	2.314456075	0.773	0.077	0	IFN Mac	FGL2																															
CD14.3	0	2.309852304	0.76	0.113	0	IFN Mac	CD14																															
C15orf48.2	0	2.307370784	0.695	0.102	0	IFN Mac	C15orf48																															
FCER1G.21	0	2.304802292	0.921	0.159	0	AXL_DC	FCER1G																															
SOD2.4	0	2.301670112	0.88	0.28	0	IFN Mac	SOD2																															
SLC11A1.3	0	2.300713798	0.541	0.057	0	Inflam Mac	SLC11A1																															
CD2.4	0	2.294617896	0.905	0.218	0	CD4+ TH1	CD2																															
HLA-DRB1.5	1.05E-194	2.293331473	0.961	0.361	4.05E-190	GC B	HLA-DRB1																															
MKI67	0	2.287035435	0.618	0.041	0	Prolif T	MKI67																															
CD37.23	3.52E-236	2.284893569	0.966	0.301	1.36E-231	GC B	CD37																															
PSAP.6	0	2.284579645	0.953	0.522	0	IFN Mac	PSAP																															
FBP1.8	4.88E-269	2.283528817	0.654	0.095	1.88E-264	AXL_DC	FBP1																															
PLEK.6	0	2.279898493	0.537	0.098	0	Inflam Mac	PLEK																															
NUB1.2	0	2.278249977	0.875	0.184	0	mRegDC	NUB1																															
CD14.1	0	2.278097462	0.787	0.109	0	Mono-like Mac	CD14																															
MARCKSL1	1.42E-228	2.277451349	0.939	0.296	5.47E-224	GC B	MARCKSL1																															
PDCD1.1	0	2.273046518	0.623	0.046	0	CD4+ TH1	PDCD1																															
LINC01871.2	0	2.271886904	0.546	0.05	0	CD8+ TEX	LINC01871																															
IL2RA	0	2.271547687	0.463	0.021	0	CD4+ TREG	IL2RA																															
NR4A3.2	0	2.270036266	0.708	0.046	0	AXL_DC	NR4A3																															
