SampleID,CellType,n,freq,lev
BC_early_25,Myeloid cell_lev2,153,0.103308575,CellType_lev2
BC_early_25,Cancer/epithelial_lev2,567,0.382849426,CellType_lev2
BC_early_25,Fibroblast_lev2,38,0.025658339,CellType_lev2
BC_early_25,EC_lev2,10,0.006752194,CellType_lev2
BC_early_26,T/NK cell_lev2,65,0.081453634,CellType_lev2
BC_early_26,B cell_lev2,10,0.012531328,CellType_lev2
BC_early_26,Myeloid cell_lev2,47,0.058897243,CellType_lev2
BC_early_26,Cancer/epithelial_lev2,561,0.703007519,CellType_lev2
BC_early_26,Fibroblast_lev2,108,0.135338346,CellType_lev2
BC_early_26,EC_lev2,7,0.00877193,CellType_lev2
BC_early_27,T/NK cell_lev2,969,0.417672414,CellType_lev2
BC_early_27,B cell_lev2,153,0.065948276,CellType_lev2
BC_early_27,Myeloid cell_lev2,316,0.136206897,CellType_lev2
BC_early_27,Cancer/epithelial_lev2,576,0.248275862,CellType_lev2
BC_early_27,Fibroblast_lev2,268,0.115517241,CellType_lev2
BC_early_27,EC_lev2,38,0.01637931,CellType_lev2
BC_early_28,T/NK cell_lev2,649,0.133484163,CellType_lev2
BC_early_28,B cell_lev2,114,0.023447141,CellType_lev2
BC_early_28,Myeloid cell_lev2,242,0.049773756,CellType_lev2
BC_early_28,Cancer/epithelial_lev2,2912,0.598930481,CellType_lev2
BC_early_28,Fibroblast_lev2,801,0.164747018,CellType_lev2
BC_early_28,EC_lev2,144,0.029617441,CellType_lev2
BC_early_29,T/NK cell_lev2,117,0.041401274,CellType_lev2
BC_early_29,B cell_lev2,8,0.002830856,CellType_lev2
BC_early_29,Myeloid cell_lev2,79,0.027954706,CellType_lev2
BC_early_29,Cancer/epithelial_lev2,1915,0.677636235,CellType_lev2
BC_early_29,Fibroblast_lev2,664,0.234961076,CellType_lev2
BC_early_29,EC_lev2,43,0.015215853,CellType_lev2
BC_early_3,T/NK cell_lev2,2167,0.563882384,CellType_lev2
BC_early_3,B cell_lev2,510,0.132708821,CellType_lev2
BC_early_3,Myeloid cell_lev2,601,0.156388238,CellType_lev2
BC_early_3,Cancer/epithelial_lev2,457,0.118917512,CellType_lev2
BC_early_3,Fibroblast_lev2,63,0.016393443,CellType_lev2
BC_early_3,EC_lev2,45,0.011709602,CellType_lev2
BC_early_30,T/NK cell_lev2,631,0.256295695,CellType_lev2
BC_early_30,B cell_lev2,94,0.038180341,CellType_lev2
BC_early_30,Myeloid cell_lev2,87,0.035337124,CellType_lev2
BC_early_30,Cancer/epithelial_lev2,408,0.165718928,CellType_lev2
BC_early_30,Fibroblast_lev2,1069,0.434199838,CellType_lev2
BC_early_30,EC_lev2,173,0.070268075,CellType_lev2
BC_early_31,T/NK cell_lev2,380,0.211111111,CellType_lev2
BC_early_31,B cell_lev2,30,0.016666667,CellType_lev2
BC_early_31,Myeloid cell_lev2,153,0.085,CellType_lev2
BC_early_31,Cancer/epithelial_lev2,887,0.492777778,CellType_lev2
BC_early_31,Fibroblast_lev2,267,0.148333333,CellType_lev2
BC_early_31,EC_lev2,83,0.046111111,CellType_lev2
BC_early_4,T/NK cell_lev2,977,0.373470948,CellType_lev2
BC_early_4,B cell_lev2,519,0.198394495,CellType_lev2
BC_early_4,Myeloid cell_lev2,133,0.050840979,CellType_lev2
BC_early_4,Cancer/epithelial_lev2,334,0.127675841,CellType_lev2
BC_early_4,Fibroblast_lev2,475,0.181574924,CellType_lev2
BC_early_4,EC_lev2,178,0.068042813,CellType_lev2
BC_early_5,T/NK cell_lev2,1509,0.406738544,CellType_lev2
BC_early_5,B cell_lev2,329,0.088679245,CellType_lev2
BC_early_5,Myeloid cell_lev2,161,0.043396226,CellType_lev2
BC_early_5,Cancer/epithelial_lev2,643,0.173315364,CellType_lev2
BC_early_5,Fibroblast_lev2,741,0.199730458,CellType_lev2
BC_early_5,EC_lev2,327,0.088140162,CellType_lev2
BC_early_6,T/NK cell_lev2,36,0.220858896,CellType_lev2
BC_early_6,B cell_lev2,4,0.024539877,CellType_lev2
BC_early_6,Myeloid cell_lev2,16,0.098159509,CellType_lev2
BC_early_6,Cancer/epithelial_lev2,32,0.196319018,CellType_lev2
BC_early_6,Fibroblast_lev2,55,0.337423313,CellType_lev2
BC_early_6,EC_lev2,20,0.122699387,CellType_lev2
BC_early_7,T/NK cell_lev2,105,0.057065217,CellType_lev2
BC_early_7,B cell_lev2,3,0.001630435,CellType_lev2
BC_early_7,Myeloid cell_lev2,94,0.051086957,CellType_lev2
BC_early_7,Cancer/epithelial_lev2,1467,0.797282609,CellType_lev2
BC_early_7,Fibroblast_lev2,136,0.073913043,CellType_lev2
BC_early_7,EC_lev2,35,0.019021739,CellType_lev2
BC_early_8,T/NK cell_lev2,612,0.42090784,CellType_lev2
BC_early_8,B cell_lev2,81,0.055708391,CellType_lev2
BC_early_8,Myeloid cell_lev2,136,0.093535076,CellType_lev2
BC_early_8,Cancer/epithelial_lev2,271,0.186382393,CellType_lev2
BC_early_8,Fibroblast_lev2,196,0.13480055,CellType_lev2
BC_early_8,EC_lev2,158,0.10866575,CellType_lev2
BC_early_9,T/NK cell_lev2,281,0.083805547,CellType_lev2
BC_early_9,B cell_lev2,39,0.011631375,CellType_lev2
BC_early_9,Myeloid cell_lev2,235,0.07008649,CellType_lev2
BC_early_9,Cancer/epithelial_lev2,437,0.130331047,CellType_lev2
BC_early_9,Fibroblast_lev2,2312,0.689531763,CellType_lev2
BC_early_9,EC_lev2,49,0.014613779,CellType_lev2
CC_1,T/NK cell_lev2,1763,0.833964049,CellType_lev2
CC_1,B cell_lev2,329,0.155629139,CellType_lev2
CC_1,Myeloid cell_lev2,17,0.008041627,CellType_lev2
CC_1,Cancer/epithelial_lev2,4,0.001892148,CellType_lev2
CC_1,Fibroblast_lev2,1,0.000473037,CellType_lev2
CC_1,EC_lev2,0,0,CellType_lev2
CC_10,T/NK cell_lev2,22,0.023783784,CellType_lev2
CC_10,B cell_lev2,0,0,CellType_lev2
CC_10,Myeloid cell_lev2,12,0.012972973,CellType_lev2
CC_10,Cancer/epithelial_lev2,4,0.004324324,CellType_lev2
CC_10,Fibroblast_lev2,410,0.443243243,CellType_lev2
CC_10,EC_lev2,477,0.515675676,CellType_lev2
CC_11,T/NK cell_lev2,770,0.602032838,CellType_lev2
CC_11,B cell_lev2,24,0.01876466,CellType_lev2
CC_11,Myeloid cell_lev2,133,0.10398749,CellType_lev2
CC_11,Cancer/epithelial_lev2,147,0.114933542,CellType_lev2
CC_11,Fibroblast_lev2,194,0.151681001,CellType_lev2
CC_11,EC_lev2,11,0.008600469,CellType_lev2
CC_12,T/NK cell_lev2,16,0.042328042,CellType_lev2
CC_12,B cell_lev2,1,0.002645503,CellType_lev2
CC_12,Myeloid cell_lev2,15,0.03968254,CellType_lev2
CC_12,Cancer/epithelial_lev2,312,0.825396825,CellType_lev2
CC_12,Fibroblast_lev2,27,0.071428571,CellType_lev2
CC_12,EC_lev2,7,0.018518519,CellType_lev2
CC_13,T/NK cell_lev2,5,0.029761905,CellType_lev2
CC_13,B cell_lev2,0,0,CellType_lev2
CC_13,Myeloid cell_lev2,34,0.202380952,CellType_lev2
CC_13,Cancer/epithelial_lev2,125,0.744047619,CellType_lev2
CC_13,Fibroblast_lev2,4,0.023809524,CellType_lev2
CC_13,EC_lev2,0,0,CellType_lev2
CC_14,T/NK cell_lev2,332,0.430051813,CellType_lev2
CC_14,B cell_lev2,12,0.015544041,CellType_lev2
CC_14,Myeloid cell_lev2,170,0.220207254,CellType_lev2
CC_14,Cancer/epithelial_lev2,241,0.312176166,CellType_lev2
CC_14,Fibroblast_lev2,9,0.011658031,CellType_lev2
CC_14,EC_lev2,8,0.010362694,CellType_lev2
CC_15,T/NK cell_lev2,433,0.211116529,CellType_lev2
CC_15,B cell_lev2,4,0.001950268,CellType_lev2
CC_15,Myeloid cell_lev2,62,0.030229157,CellType_lev2
CC_15,Cancer/epithelial_lev2,116,0.056557777,CellType_lev2
CC_15,Fibroblast_lev2,1114,0.543149683,CellType_lev2
CC_15,EC_lev2,322,0.156996587,CellType_lev2
CC_2,T/NK cell_lev2,70,0.040253019,CellType_lev2
CC_2,B cell_lev2,1,0.000575043,CellType_lev2
CC_2,Myeloid cell_lev2,77,0.044278321,CellType_lev2
CC_2,Cancer/epithelial_lev2,1023,0.58826912,CellType_lev2
CC_2,Fibroblast_lev2,549,0.315698677,CellType_lev2
CC_2,EC_lev2,19,0.010925819,CellType_lev2
CC_3,T/NK cell_lev2,256,0.20414673,CellType_lev2
CC_3,B cell_lev2,15,0.011961722,CellType_lev2
CC_3,Myeloid cell_lev2,67,0.053429027,CellType_lev2
CC_3,Cancer/epithelial_lev2,101,0.080542265,CellType_lev2
CC_3,Fibroblast_lev2,621,0.495215311,CellType_lev2
CC_3,EC_lev2,194,0.154704944,CellType_lev2
CC_4,T/NK cell_lev2,180,0.082796688,CellType_lev2
CC_4,B cell_lev2,83,0.038178473,CellType_lev2
CC_4,Myeloid cell_lev2,127,0.058417663,CellType_lev2
CC_4,Cancer/epithelial_lev2,1684,0.774609016,CellType_lev2
CC_4,Fibroblast_lev2,93,0.042778289,CellType_lev2
CC_4,EC_lev2,7,0.003219871,CellType_lev2
CC_5,T/NK cell_lev2,5,0.138888889,CellType_lev2
CC_5,B cell_lev2,0,0,CellType_lev2
CC_5,Myeloid cell_lev2,3,0.083333333,CellType_lev2
CC_5,Cancer/epithelial_lev2,0,0,CellType_lev2
CC_5,Fibroblast_lev2,23,0.638888889,CellType_lev2
CC_5,EC_lev2,5,0.138888889,CellType_lev2
CC_6,T/NK cell_lev2,3234,0.785523439,CellType_lev2
CC_6,B cell_lev2,718,0.174398834,CellType_lev2
CC_6,Myeloid cell_lev2,123,0.029876123,CellType_lev2
CC_6,Cancer/epithelial_lev2,12,0.002914744,CellType_lev2
CC_6,Fibroblast_lev2,19,0.004615011,CellType_lev2
CC_6,EC_lev2,11,0.002671848,CellType_lev2
CC_7,T/NK cell_lev2,36,0.349514563,CellType_lev2
CC_7,B cell_lev2,7,0.067961165,CellType_lev2
CC_7,Myeloid cell_lev2,28,0.27184466,CellType_lev2
CC_7,Cancer/epithelial_lev2,16,0.155339806,CellType_lev2
CC_7,Fibroblast_lev2,13,0.126213592,CellType_lev2
CC_7,EC_lev2,3,0.029126214,CellType_lev2
CC_8,T/NK cell_lev2,385,0.149688958,CellType_lev2
CC_8,B cell_lev2,38,0.014774495,CellType_lev2
CC_8,Myeloid cell_lev2,199,0.077371695,CellType_lev2
CC_8,Cancer/epithelial_lev2,576,0.223950233,CellType_lev2
CC_8,Fibroblast_lev2,1201,0.466951788,CellType_lev2
CC_8,EC_lev2,173,0.06726283,CellType_lev2
CC_9,T/NK cell_lev2,16,0.112676056,CellType_lev2
CC_9,B cell_lev2,2,0.014084507,CellType_lev2
CC_9,Myeloid cell_lev2,4,0.028169014,CellType_lev2
CC_9,Cancer/epithelial_lev2,115,0.809859155,CellType_lev2
CC_9,Fibroblast_lev2,5,0.035211268,CellType_lev2
CC_9,EC_lev2,0,0,CellType_lev2
CRC_1,T/NK cell_lev2,782,0.146716698,CellType_lev2
CRC_1,B cell_lev2,37,0.006941839,CellType_lev2
CRC_1,Myeloid cell_lev2,814,0.15272045,CellType_lev2
CRC_1,Cancer/epithelial_lev2,2885,0.541275797,CellType_lev2
CRC_1,Fibroblast_lev2,607,0.113883677,CellType_lev2
CRC_1,EC_lev2,205,0.038461538,CellType_lev2
CRC_10,T/NK cell_lev2,163,0.152764761,CellType_lev2
CRC_10,B cell_lev2,297,0.278350515,CellType_lev2
CRC_10,Myeloid cell_lev2,45,0.042174321,CellType_lev2
CRC_10,Cancer/epithelial_lev2,113,0.105904405,CellType_lev2
CRC_10,Fibroblast_lev2,396,0.371134021,CellType_lev2
CRC_10,EC_lev2,53,0.049671978,CellType_lev2
CRC_11,T/NK cell_lev2,181,0.159893993,CellType_lev2
CRC_11,B cell_lev2,290,0.256183746,CellType_lev2
CRC_11,Myeloid cell_lev2,149,0.131625442,CellType_lev2
CRC_11,Cancer/epithelial_lev2,210,0.185512367,CellType_lev2
CRC_11,Fibroblast_lev2,182,0.160777385,CellType_lev2
CRC_11,EC_lev2,120,0.106007067,CellType_lev2
CRC_12,T/NK cell_lev2,36,0.033834586,CellType_lev2
CRC_12,B cell_lev2,687,0.645676692,CellType_lev2
CRC_12,Myeloid cell_lev2,66,0.062030075,CellType_lev2
CRC_12,Cancer/epithelial_lev2,26,0.02443609,CellType_lev2
CRC_12,Fibroblast_lev2,237,0.222744361,CellType_lev2
CRC_12,EC_lev2,12,0.011278195,CellType_lev2
CRC_13,T/NK cell_lev2,82,0.048434731,CellType_lev2
CRC_13,B cell_lev2,407,0.240401654,CellType_lev2
CRC_13,Myeloid cell_lev2,181,0.106910809,CellType_lev2
CRC_13,Cancer/epithelial_lev2,500,0.295333727,CellType_lev2
CRC_13,Fibroblast_lev2,347,0.204961607,CellType_lev2
CRC_13,EC_lev2,176,0.103957472,CellType_lev2
CRC_14,T/NK cell_lev2,29,0.012866016,CellType_lev2
CRC_14,B cell_lev2,682,0.302573203,CellType_lev2
CRC_14,Myeloid cell_lev2,122,0.054125998,CellType_lev2
CRC_14,Cancer/epithelial_lev2,317,0.140638864,CellType_lev2
CRC_14,Fibroblast_lev2,849,0.376663709,CellType_lev2
CRC_14,EC_lev2,255,0.113132209,CellType_lev2
CRC_2,T/NK cell_lev2,237,0.099454469,CellType_lev2
CRC_2,B cell_lev2,374,0.156945027,CellType_lev2
CRC_2,Myeloid cell_lev2,368,0.154427193,CellType_lev2
CRC_2,Cancer/epithelial_lev2,517,0.21695342,CellType_lev2
CRC_2,Fibroblast_lev2,817,0.342845153,CellType_lev2
CRC_2,EC_lev2,70,0.029374738,CellType_lev2
CRC_3,T/NK cell_lev2,2801,0.328601595,CellType_lev2
CRC_3,B cell_lev2,1568,0.183951197,CellType_lev2
CRC_3,Myeloid cell_lev2,547,0.06417175,CellType_lev2
CRC_3,Cancer/epithelial_lev2,2653,0.311238855,CellType_lev2
CRC_3,Fibroblast_lev2,649,0.076137963,CellType_lev2
CRC_3,EC_lev2,306,0.035898639,CellType_lev2
CRC_4,T/NK cell_lev2,201,0.090622182,CellType_lev2
CRC_4,B cell_lev2,484,0.218214608,CellType_lev2
CRC_4,Myeloid cell_lev2,266,0.119927863,CellType_lev2
CRC_4,Cancer/epithelial_lev2,634,0.285843102,CellType_lev2
CRC_4,Fibroblast_lev2,580,0.261496844,CellType_lev2
CRC_4,EC_lev2,53,0.023895401,CellType_lev2
CRC_5,T/NK cell_lev2,483,0.096619324,CellType_lev2
CRC_5,B cell_lev2,103,0.020604121,CellType_lev2
CRC_5,Myeloid cell_lev2,633,0.126625325,CellType_lev2
CRC_5,Cancer/epithelial_lev2,2474,0.49489898,CellType_lev2
CRC_5,Fibroblast_lev2,1163,0.232646529,CellType_lev2
CRC_5,EC_lev2,143,0.028605721,CellType_lev2
CRC_6,T/NK cell_lev2,511,0.28483835,CellType_lev2
CRC_6,B cell_lev2,311,0.17335563,CellType_lev2
CRC_6,Myeloid cell_lev2,99,0.055183946,CellType_lev2
CRC_6,Cancer/epithelial_lev2,686,0.38238573,CellType_lev2
CRC_6,Fibroblast_lev2,173,0.096432553,CellType_lev2
CRC_6,EC_lev2,14,0.00780379,CellType_lev2
CRC_7,T/NK cell_lev2,1707,0.316638843,CellType_lev2
CRC_7,B cell_lev2,818,0.151734372,CellType_lev2
CRC_7,Myeloid cell_lev2,387,0.071786311,CellType_lev2
CRC_7,Cancer/epithelial_lev2,1636,0.303468744,CellType_lev2
CRC_7,Fibroblast_lev2,536,0.099424968,CellType_lev2
CRC_7,EC_lev2,307,0.056946763,CellType_lev2
CRC_8,T/NK cell_lev2,222,0.123539232,CellType_lev2
CRC_8,B cell_lev2,226,0.125765164,CellType_lev2
CRC_8,Myeloid cell_lev2,279,0.155258765,CellType_lev2
CRC_8,Cancer/epithelial_lev2,394,0.219254313,CellType_lev2
CRC_8,Fibroblast_lev2,600,0.333889816,CellType_lev2
CRC_8,EC_lev2,76,0.04229271,CellType_lev2
CRC_9,T/NK cell_lev2,152,0.128161889,CellType_lev2
CRC_9,B cell_lev2,163,0.137436762,CellType_lev2
CRC_9,Myeloid cell_lev2,226,0.190556492,CellType_lev2
CRC_9,Cancer/epithelial_lev2,169,0.142495784,CellType_lev2
CRC_9,Fibroblast_lev2,271,0.228499157,CellType_lev2
CRC_9,EC_lev2,205,0.172849916,CellType_lev2
GBM_1,T/NK cell_lev2,300,0.057383321,CellType_lev2
GBM_1,B cell_lev2,0,0,CellType_lev2
GBM_1,Myeloid cell_lev2,2277,0.435539403,CellType_lev2
GBM_1,Cancer/epithelial_lev2,2640,0.504973221,CellType_lev2
GBM_1,Fibroblast_lev2,11,0.002104055,CellType_lev2
GBM_1,EC_lev2,0,0,CellType_lev2
GBM_2,T/NK cell_lev2,30,0.015641293,CellType_lev2
GBM_2,B cell_lev2,0,0,CellType_lev2
GBM_2,Myeloid cell_lev2,976,0.508863399,CellType_lev2
GBM_2,Cancer/epithelial_lev2,903,0.47080292,CellType_lev2
GBM_2,Fibroblast_lev2,9,0.004692388,CellType_lev2
GBM_2,EC_lev2,0,0,CellType_lev2
GBM_3,T/NK cell_lev2,201,0.048433735,CellType_lev2
GBM_3,B cell_lev2,0,0,CellType_lev2
GBM_3,Myeloid cell_lev2,2336,0.562891566,CellType_lev2
